[0.35565002929875966, -17.956390976668978, 0.29999999975958053];[12.369556429084966, -13.045175928653457, 0.29999999975958053]
[-12.312734727255584, -12.905546299718011, 0.29999999975958053];[-0.27328326418536264, -17.954268362237951, 0.29999999975958053]
[0.039748842119348662, -17.955783473095508, 0.29999999975958053];[0.3556500500999642, -17.956390776200386, 0.29999999975958053]
[-0.27328319857271133, -17.954268098571774, 0.29999999975958053];[0.039748841427696094, -17.955783738482623, 0.29999999975958053]
[-17.669290587078901, 0.045626956262545093, 0.29999999975958053];[-17.669617039444283, -0.18860708386377584, 0.29999999975958053]
[-17.66961680695848, -0.18860708387381997, 0.29999999975958053];[-17.669290860603571, -0.42281179336816038, 0.29999999975958053]
[-12.677082296650074, -12.539538723468922, 0.29999999975958053];[-12.495757209284495, -12.722229281867644, 0.29999999975958053]
[-12.495757471789879, -12.722229543441161, 0.29999999975958053];[-12.31273470422342, -12.905546456483739, 0.29999999975958053]
[-12.312735424399751, 12.530327884516401, 0.29999999975958053];[-12.495755146517819, 12.34701355611152, 0.29999999975958053]
[-12.495755470789122, 12.347013879231577, 0.29999999975958053];[-12.677076969544196, 12.164325842515627, 0.29999999975958053]
[0.35564428421757022, 17.581174876817833, 0.29999999975958053];[0.039748852204711603, 17.580567858859673, 0.29999999975958053]
[0.039748851967844459, 17.580567949745642, 0.29999999975958053];[-0.27327771506782189, 17.579052424893991, 0.29999999975958053]
[12.63393016280075, -12.782874860665686, 0.29999999975958053];[12.899182979859447, -12.518098407241904, 0.29999999975958053]
[12.369556418710127, -13.045175997869551, 0.29999999975958053];[12.633930461903855, -12.782875160819833, 0.29999999975958053]
[17.868248779723807, -0.58387231331198741, 0.29999999975958053];[17.86885190365583, -0.18860188263877758, 0.29999999975958053]
[17.868851903421021, -0.18860188263878785, 0.29999999975958053];[17.868248674819839, 0.20671866275039497, 0.29999999975958053]
[12.899178404164426, 12.142885395667824, 0.29999999975958053];[12.631890320991689, 12.408877379806688, 0.29999999975958053]
[12.631890089791552, 12.408877143897033, 0.29999999975958053];[12.369557177765207, 12.669957243007968, 0.29999999975958053]
[-17.766619942230101, -0.55370115008119569, 0.3999999997595805];[-12.838167694016098, -12.515682618362028, 0.3999999997595805]
[-12.838163754258344, 12.14046950818677, 0.3999999997595805];[-17.766620109628729, 0.17654205463498229, 0.3999999997595805]
[-0.40425448219769322, 17.676007720582728, 0.3999999997595805];[-12.288956005259106, 12.692179654884878, 0.3999999997595805]
[12.345339981261914, 12.831523033835456, 0.3999999997595805];[0.48731026574566716, 17.679016303372137, 0.3999999997595805]
[17.965712512033591, 0.33849618055089437, 0.3999999997595805];[13.061541535253658, 12.118768534265794, 0.3999999997595805]
[13.061546404301231, -12.493981526287071, 0.3999999997595805];[17.965712652452311, -0.71562456466112234, 0.3999999997595805]
[0.48731588238138279, -18.054232571705747, 0.3999999997595805];[12.345339254400729, -13.206741597783559, 0.3999999997595805]
[-12.288955301357657, -13.067398139990544, 0.3999999997595805];[-0.40425964991414087, -18.051223638261053, 0.3999999997595805]
[0.039494507791971202, -18.053371569483666, 0.3999999997595805];[0.48731590318258761, -18.054232371237159, 0.3999999997595805]
[-0.40425958430149223, -18.051223374594873, 0.3999999997595805];[0.039494507100318724, -18.053371834870781, 0.3999999997595805]
[-17.766619877577622, 0.17654151899292359, 0.3999999997595805];[-17.767128649804821, -0.18860287104238693, 0.3999999997595805]
[-17.767128417319022, -0.18860287105243106, 0.3999999997595805];[-17.766620174281268, -0.55370123862853338, 0.3999999997595805]
[-12.838168306110092, -12.515682527713349, 0.3999999997595805];[-12.56484128138379, -12.791068112225698, 0.3999999997595805]
[-12.564841543889179, -12.791068373799217, 0.3999999997595805];[-12.288955278325483, -13.067398296756267, 0.3999999997595805]
[-12.28895600703081, 12.692179642825986, 0.3999999997595805];[-12.564839206191218, 12.415852350105617, 0.3999999997595805]
[-12.564839530462525, 12.415852673225675, 0.3999999997595805];[-12.838162998142147, 12.140469620164676, 0.3999999997595805]
[0.48731009779636913, 17.679016394494152, 0.3999999997595805];[0.039494517938476498, 17.67815591976748, 0.3999999997595805]
[0.039494517701609277, 17.678156010653446, 0.3999999997595805];[-0.40425406964381433, 17.676007630286151, 0.3999999997595805]
[12.702848513469796, -12.852035388669501, 0.3999999997595805];[13.061546334743408, -12.493981536618939, 0.3999999997595805]
[12.34533924402589, -13.206741666999651, 0.3999999997595805];[12.702848812572897, -12.852035688823642, 0.3999999997595805]
[17.965712652217988, -0.71562480276294416, 0.3999999997595805];[17.966516817382573, -0.18859764123260359, 0.3999999997595805]
[17.96651681714777, -0.1885976412326138, 0.3999999997595805];[17.965712512267917, 0.33849641928629326, 0.3999999997595805]
[13.061541759048389, 12.118768501024094, 0.3999999997595805];[12.700090666828478, 12.478466957791731, 0.3999999997595805]
[12.700090435628335, 12.478466721882072, 0.3999999997595805];[12.34534001464182, 12.831522811140362, 0.3999999997595805]
[-17.863949255907798, -0.68459059534156985, 0.49999999975958048];[-12.999253703476121, -12.491826422606458, 0.49999999975958048]
[-12.999249782856291, 12.116613285835816, 0.49999999975958048];[-17.863949400127453, 0.30745661736536256, 0.49999999975958048]
[-0.53523083677368533, 17.772962925974891, 0.49999999975958048];[-12.265176587890167, 12.854031413194464, 0.49999999975958048]
[12.321122818138527, 12.993088601967848, 0.49999999975958048];[0.61897607932446608, 17.776857821048463, 0.49999999975958048]
[18.063176349481672, 0.47027393708679277, 0.49999999975958048];[13.223904890137618, 12.094651639622064, 0.49999999975958048]
[13.223909759185196, -12.469864655664104, 0.49999999975958048];[18.063176524946485, -0.8473770541120782, 0.49999999975958048]
[0.6189817354640077, -18.152074166742512, 0.49999999975958048];[12.321122079716494, -13.368307266913666, 0.49999999975958048]
[-12.265175875459727, -13.229249980263077, 0.49999999975958048];[-0.53523603564292088, -18.148178914284156, 0.49999999975958048]
[0.039240173464593756, -18.150959665871824, 0.49999999975958048];[0.6189817562652109, -18.152073966273917, 0.49999999975958048]
[-0.53523597003027312, -18.148178650617975, 0.49999999975958048];[0.039240172772941062, -18.150959931258946, 0.49999999975958048]
[-17.863949168076342, 0.30745608172330563, 0.49999999975958048];[-17.864640260165363, -0.18859865822099803, 0.49999999975958048]
[-17.864640027679563, -0.18859865823104219, 0.49999999975958048];[-17.863949487958962, -0.68459068388890654, 0.49999999975958048]
[-12.999254315570109, -12.491826331957775, 0.49999999975958048];[-12.633925353483086, -12.859906942583748, 0.49999999975958048]
[-12.633925615988476, -12.859907204157272, 0.49999999975958048];[-12.265175852427564, -13.229250137028806, 0.49999999975958048]
[-12.265176589661872, 12.85403140113557, 0.49999999975958048];[-12.633923265864622, 12.48469114409971, 0.49999999975958048]
[-12.633923590135925, 12.484691467219772, 0.49999999975958048];[-12.99924902674009, 12.116613397813721, 0.49999999975958048]
[0.61897591137516805, 17.776857912170474, 0.49999999975958048];[0.039240183672241309, 17.775743980675283, 0.49999999975958048]
[0.039240183435374096, 17.775744071561249, 0.49999999975958048];[-0.53523042421980649, 17.772962835678321, 0.49999999975958048]
[12.771766864138842, -12.921195916673314, 0.49999999975958048];[13.223909689627371, -12.469864665995974, 0.49999999975958048]
[12.321122069341653, -13.368307336129751, 0.49999999975958048];[12.771767163241945, -12.921196216827456, 0.49999999975958048]
[18.063176524712169, -0.8473772922139009, 0.49999999975958048];[18.064181731109318, -0.18859339982642953, 0.49999999975958048]
[18.064181730874516, -0.18859339982643974, 0.49999999975958048];[18.063176349715999, 0.4702741758221915, 0.49999999975958048]
[13.22390511393235, 12.094651606380364, 0.49999999975958048];[12.768291012665255, 12.548056535776762, 0.49999999975958048]
[12.768290781465115, 12.54805629986711, 0.49999999975958048];[12.321122851518437, 12.993088379272752, 0.49999999975958048]
[-17.961278569585495, -0.81548004060194046, 0.59999999975958063];[-13.160339712936135, -12.467970226850884, 0.59999999975958063]
[-13.160335811454235, 12.092757063484861, 0.59999999975958063];[-17.961278690626173, 0.43837118009574638, 0.59999999975958063]
[-0.66620719134967743, 17.869918131367054, 0.59999999975958063];[-12.241397170521228, 13.015883171504047, 0.59999999975958063]
[12.296905655015141, 13.154654170100239, 0.59999999975958063];[0.75064189290326322, 17.874699338724781, 0.59999999975958063]
[18.160640186929754, 0.60205169362269118, 0.59999999975958063];[13.386268245021574, 12.070534744978332, 0.59999999975958063]
[13.386273114069155, -12.445747785041137, 0.59999999975958063];[18.16064039744067, -0.97912954356303405, 0.59999999975958063]
[0.75064758854662905, -18.249915761779278, 0.59999999975958063];[12.296904905032257, -13.529872936043763, 0.59999999975958063]
[-12.241396449561799, -13.391101820535608, 0.59999999975958063];[-0.66621242137170622, -18.245134190307258, 0.59999999975958063]
[0.038985839137216302, -18.248547762259982, 0.59999999975958063];[0.7506476093478347, -18.249915561310694, 0.59999999975958063]
[-0.66621235575905402, -18.245133926641078, 0.59999999975958063];[0.038985838445563747, -18.248548027647104, 0.59999999975958063]
[-17.961278458575059, 0.4383706444536859, 0.59999999975958063];[-17.962151870525901, -0.18859444539960912, 0.59999999975958063]
[-17.962151638040105, -0.18859444540965328, 0.59999999975958063];[-17.961278801636659, -0.81548012914927959, 0.59999999975958063]
[-13.160340325030127, -12.467970136202203, 0.59999999975958063];[-12.703009425582385, -12.928745772941806, 0.59999999975958063]
[-12.703009688087773, -12.928746034515326, 0.59999999975958063];[-12.241396426529629, -13.391101977301334, 0.59999999975958063]
