[8.0, 5.0, 0.01];[3.5090000000000008, 2.4071200470924374, 0.01]
[3.5090000000000003, 2.4071200470924379, 0.01];[3.4999999999999991, 2.4019238948822013, 0.01]
[3.5, 2.4019238948822021, 0.01];[3.5, 7.587684038162231, 0.01]
[3.5, 7.5876842765808101, 0.01];[3.5, 7.598076343536377, 0.01]
[3.5, 7.598076343536377, 0.01];[7.9909999999999988, 5.0051961526870716, 0.01]
[7.9909999999999997, 5.0051961526870734, 0.01];[8.0, 4.9999999999999982, 0.01]
[7.990000000088906, 5.0000000001290479, 0.01];[7.990000000088906, 5.0000000001290479, 0.01]
[7.9700000000889064, 4.988530129521572, 0.01];[7.9700000000889064, 4.9942690638830847, 0.01]
[7.9500000000889068, 4.9770602589140962, 0.01];[7.9500000000889068, 5.0058934626538054, 0.01]
[7.9300000000889073, 4.9655903883066204, 0.01];[7.9300000000889073, 5.0175178614245262, 0.01]
[7.9100000000889077, 4.9541205176991454, 0.01];[7.9100000000889077, 5.0291422601952469, 0.01]
[7.8900000000889081, 4.9426506470916696, 0.01];[7.8900000000889081, 5.0407666589659677, 0.01]
[7.8700000000889085, 4.9311807764841937, 0.01];[7.8700000000889085, 5.0523910577366893, 0.01]
[7.850000000088909, 4.9197109058767179, 0.01];[7.850000000088909, 5.0640154565074109, 0.01]
[7.8300000000889094, 4.908241035269242, 0.01];[7.8300000000889094, 5.0756398552781317, 0.01]
[7.8100000000889098, 4.8967711646617662, 0.01];[7.8100000000889098, 5.0872642540488524, 0.01]
[7.7900000000889102, 4.8853012940542904, 0.01];[7.7900000000889102, 5.0988886528195732, 0.01]
[7.7700000000889107, 4.8738314234468145, 0.01];[7.7700000000889107, 5.1105130515902939, 0.01]
[7.7500000000889111, 4.8623615528393396, 0.01];[7.7500000000889111, 5.1221374503610146, 0.01]
[7.7300000000889115, 4.8508916822318637, 0.01];[7.7300000000889115, 5.1337618491317354, 0.01]
[7.710000000088912, 4.8394218116243879, 0.01];[7.710000000088912, 5.145386247902457, 0.01]
