-10.0,-10.0,-9.0;-9.0,-10.0,-9.0
-9.0,-10.0,-9.0;10.0,-10.0,-9.0
10.0,9.0,-9.0;10.0,10.0,-9.0
10.0,-10.0,-9.0;10.0,9.0,-9.0
10.0,10.0,-9.0;9.0,10.0,-9.0
9.0,10.0,-9.0;-10.0,10.0,-9.0
-10.0,10.0,-9.0;-10.0,-9.0,-9.0
-10.0,-9.0,-9.0;-10.0,-10.0,-9.0
9.5,-9.5,-9.0;9.5,-9.5,-9.0
9.5,9.5,-9.0;9.5,9.5,-9.0
8.5,-9.47297297297,-9.0;8.5,9.01351351351,-9.0
7.5,-9.44594594595,-9.0;7.5,9.04054054054,-9.0
6.5,-9.41891891892,-9.0;6.5,9.06756756757,-9.0
5.5,-9.39189189189,-9.0;5.5,9.09459459459,-9.0
4.5,-9.36486486486,-9.0;4.5,9.12162162162,-9.0
3.5,-9.33783783784,-9.0;3.5,9.14864864865,-9.0
2.5,-9.31081081081,-9.0;2.5,9.17567567568,-9.0
1.5,-9.28378378378,-9.0;1.5,9.2027027027,-9.0
0.5,-9.25675675676,-9.0;0.5,9.22972972973,-9.0
-0.5,-9.22972972973,-9.0;-0.5,9.25675675676,-9.0
-1.5,-9.2027027027,-9.0;-1.5,9.28378378378,-9.0
-2.5,-9.17567567568,-9.0;-2.5,9.31081081081,-9.0
-3.5,-9.14864864865,-9.0;-3.5,9.33783783784,-9.0
-4.5,-9.12162162162,-9.0;-4.5,9.36486486486,-9.0
-5.5,-9.09459459459,-9.0;-5.5,9.39189189189,-9.0
-6.5,-9.06756756757,-9.0;-6.5,9.41891891892,-9.0
-7.5,-9.04054054054,-9.0;-7.5,9.44594594595,-9.0
-8.5,-9.01351351351,-9.0;-8.5,9.47297297297,-9.0
