[4.9936338996887208, 8.6630888462066657, 0.10000000000000001];[5.0, 8.6602544784545898, 0.10000000000000001]
[5.0, 8.6602544784545898, 0.10000000000000001];[6.6856684271494542, 7.4355444796880068, 0.10000000000000001]
[6.6856684271494551, 7.4355444796880086, 0.10000000000000001];[6.6913061141967756, 7.4314484596252415, 0.10000000000000001]
[6.6913061141967773, 7.4314484596252441, 0.10000000000000001];[8.0855070273081466, 5.88303109327952, 0.10000000000000001]
[8.0855070273081466, 5.8830310932795209, 0.10000000000000001];[8.0901699066162109, 5.8778524398803711, 0.10000000000000001]
[8.0901699066162109, 5.8778524398803711, 0.10000000000000001];[9.1319698969523113, 4.0734015528361009, 0.10000000000000001]
[9.1319698969523113, 4.0734015528361009, 0.10000000000000001];[9.1354541778564435, 4.0673666000366202, 0.10000000000000001]
[9.1354541778564453, 4.0673666000366211, 0.10000000000000001];[9.7793226146698, 2.0857443205515542, 0.10000000000000001]
[9.7793226146698, 2.0857443205515542, 0.10000000000000001];[9.7814760208129865, 2.0791168212890625, 0.10000000000000001]
[9.7814760208129883, 2.0791168212890625, 0.10000000000000001];[9.9992715867360449, 0.0069303894042973546, 0.10000000000000001]
[9.9992715867360431, 0.0069303894042969105, 0.10000000000000001];[10.0, 0.0, 0.10000000000000001]
[10.0, 0.0, 0.20000000000000001];[9.7829328473409038, -2.0652560424804687, 0.20000000000000001]
[9.7829328473409021, -2.0652560424804687, 0.20000000000000001];[9.7814760208129883, -2.0791168212890625, 0.20000000000000001]
[9.7814760208129883, -2.0791168212890625, 0.20000000000000001];[9.1397609901428236, -4.0541116015116385, 0.20000000000000001]
[9.1397609901428218, -4.0541116015116376, 0.20000000000000001];[9.1354541778564471, -4.0673666000366211, 0.20000000000000001]
[9.1354541778564453, -4.0673666000366211, 0.20000000000000001];[8.0971384684244772, -5.8657825342814123, 0.20000000000000001]
[8.0971384684244789, -5.8657825342814132, 0.20000000000000001];[8.0901699066162109, -5.8778524398803711, 0.20000000000000001]
[8.0901699066162109, -5.8778524398803711, 0.20000000000000001];[6.700631872812906, -7.4210911528269445, 0.20000000000000001]
[6.7006318728129068, -7.4210911528269454, 0.20000000000000001];[6.6913061141967782, -7.431448459625245, 0.20000000000000001]
[6.6913061141967773, -7.4314484596252441, 0.20000000000000001];[5.0112753740946463, -8.6520624383290627, 0.20000000000000001]
[5.0112753740946445, -8.652062438329061, 0.20000000000000001];[4.9999999999999991, -8.6602544784545881, 0.20000000000000001]
[5.0, -8.6602544784545898, 0.20000000000000001];[3.1029021072387684, -9.5048960685729966, 0.20000000000000001]
[3.1029021072387692, -9.5048960685729984, 0.20000000000000001];[3.0901699066162127, -9.5105648040771502, 0.20000000000000001]
[3.0901699066162109, -9.5105648040771484, 0.20000000000000001];[1.0589171965916939, -9.9423213450113916, 0.20000000000000001]
[1.0589173158009846, -9.9423213450113934, 0.20000000000000001];[1.0452846288681028, -9.945219039916994, 0.20000000000000001]
[1.045284628868103, -9.9452190399169922, 0.20000000000000001];[-1.0313475004831947, -9.9452190399169922, 0.20000000000000001]
[-1.0313475004831951, -9.9452190399169922, 0.20000000000000001];[-1.045284628868103, -9.9452190399169922, 0.20000000000000001]
[-1.045284628868103, -9.9452190399169922, 0.20000000000000001];[-3.0765373388926185, -9.5134624989827437, 0.20000000000000001]
[-3.0765372196833294, -9.5134624989827472, 0.20000000000000001];[-3.0901699066162118, -9.5105648040771502, 0.20000000000000001]
[-3.0901699066162109, -9.5105648040771484, 0.20000000000000001];[-4.9872677993774408, -8.6659232139587363, 0.20000000000000001]
[-4.9872677993774417, -8.6659232139587399, 0.20000000000000001];[-5.0000000000000009, -8.6602544784545934, 0.20000000000000001]
[-5.0, -8.6602544784545898, 0.20000000000000001];[-6.6800307401021328, -7.4396404997507748, 0.20000000000000001]
[-6.6800307401021328, -7.439640499750773, 0.20000000000000001];[-6.6913061141967756, -7.4314484596252415, 0.20000000000000001]
[-6.6913061141967773, -7.4314484596252441, 0.20000000000000001];[-8.0808441480000806, -5.8882097466786716, 0.20000000000000001]
[-8.0808441480000823, -5.8882097466786698, 0.20000000000000001];[-8.0901699066162092, -5.877852439880372, 0.20000000000000001]
[-8.0901699066162109, -5.8778524398803711, 0.20000000000000001];[-9.1284856160481755, -4.079436505635579, 0.20000000000000001]
[-9.1284856160481773, -4.079436505635579, 0.20000000000000001];[-9.1354541778564435, -4.0673666000366211, 0.20000000000000001]
[-9.1354541778564453, -4.0673666000366211, 0.20000000000000001];[-9.7771692085266118, -2.0923718198140469, 0.20000000000000001]
[-9.7771692085266118, -2.092371819814046, 0.20000000000000001];[-9.7814760208129883, -2.0791168212890625, 0.20000000000000001]
[-9.7814760208129883, -2.0791168212890625, 0.20000000000000001];[-9.998543173472088, -0.013860778808595375, 0.20000000000000001]
[-9.9985431734720862, -0.013860778808593821, 0.20000000000000001];[-10.000000000000002, -1.3322676295501878e-15, 0.20000000000000001]
[-10.0, -1.2246467996456087e-15, 0.20000000000000001];[-9.7829328473409038, 2.0652560424804691, 0.20000000000000001]
[-9.7829328473409021, 2.0652560424804673, 0.20000000000000001];[-9.7814760208129883, 2.0791168212890625, 0.20000000000000001]
[-9.7814760208129883, 2.0791168212890625, 0.20000000000000001];[-9.1397609901428236, 4.0541116015116385, 0.20000000000000001]
[-9.1397609901428218, 4.0541116015116376, 0.20000000000000001];[-9.1354541778564471, 4.0673666000366211, 0.20000000000000001]
[-9.1354541778564453, 4.0673666000366211, 0.20000000000000001];[-8.0971384684244772, 5.8657825342814123, 0.20000000000000001]
[-8.0971384684244789, 5.8657825342814132, 0.20000000000000001];[-8.0901699066162109, 5.8778524398803711, 0.20000000000000001]
[-8.0901699066162109, 5.8778524398803711, 0.20000000000000001];[-6.700631872812906, 7.4210911528269445, 0.20000000000000001]
[-6.7006318728129068, 7.4210911528269454, 0.20000000000000001];[-6.6913061141967782, 7.431448459625245, 0.20000000000000001]
[-6.6913061141967773, 7.4314484596252441, 0.20000000000000001];[-5.0112753740946463, 8.6520624383290627, 0.20000000000000001]
[-5.0112753740946445, 8.652062438329061, 0.20000000000000001];[-4.9999999999999991, 8.6602544784545881, 0.20000000000000001]
[-5.0, 8.6602544784545898, 0.20000000000000001];[-3.1029021072387684, 9.5048960685729966, 0.20000000000000001]
[-3.1029021072387692, 9.5048960685729984, 0.20000000000000001];[-3.0901699066162127, 9.5105648040771502, 0.20000000000000001]
[-3.0901699066162109, 9.5105648040771484, 0.20000000000000001];[-1.0589171965916939, 9.9423213450113916, 0.20000000000000001]
